tanggal, kasus_aktif
19/03/21,131828
20/03/21,131616
21/03/21,129844
22/03/21,128250
23/03/21,126439
24/03/21,123926
25/03/21,125279
26/03/21,124497
27/03/21,124517
28/03/21,124236
29/03/21,123694
30/03/21,122326
31/03/21,122524
01/04/21,121222
02/04/21,121011
03/04/21,120068
04/04/21,116709
05/04/21,114475
06/04/21,114566
07/04/21,113570
08/04/21,111271
09/04/21,110138
10/04/21,111137
11/04/21,109958
12/04/21,109372
13/04/21,108599
14/04/21,108384
15/04/21,108032
16/04/21,107297
17/04/21,106243
18/04/21,105859
19/04/21,104319
20/04/21,102930
21/04/21,101106
22/04/21,101191
23/04/21,100533
24/04/21,99970
25/04/21,100474
26/04/21,100652
27/04/21,100256
28/04/21,100502
29/04/21,100102
30/04/21,100213
01/05/21,100250
02/05/21,100760
03/05/21,100564
04/05/21,99087
05/05/21,98217
06/05/21,98277
07/05/21,98546
08/05/21,99003
09/05/21,98395
10/05/21,96742
11/05/21,95924
12/05/21,95709
13/05/21,94857
14/05/21,93576
15/05/21,91636
16/05/21,90800
17/05/21,89129
18/05/21,87514
19/05/21,87829
20/05/21,88439
21/05/21,89429
22/05/21,91240
23/05/21,92847
24/05/21,93393
25/05/21,94486
26/05/21,96187
27/05/21,98405
28/05/21,98704
29/05/21,99690
30/05/21,101639
31/05/21,102006
01/06/21,101325
02/06/21,100364
03/06/21,94438
04/06/21,94773
05/06/21,96973
06/06/21,98455
07/06/21,99663
08/06/21,99963
09/06/21,101635
10/06/21,104655
11/06/21,106315
12/06/21,108324
13/06/21,113388
14/06/21,115197
15/06/21,116787
16/06/21,120306
17/06/21,125303
18/06/21,130096
19/06/21,135738
20/06/21,142719
21/06/21,147728
22/06/21,152686
23/06/21,160524
24/06/21,171542
25/06/21,181435
26/06/21,194776
27/06/21,207685
28/06/21,218476
29/06/21,228835
30/06/21,239368
01/07/21,253826
02/07/21,267539
03/07/21,281677
04/07/21,295228
05/07/21,309999
06/07/21,324597
07/07/21,343101
08/07/21,359455
09/07/21,367733
10/07/21,373440
11/07/21,376015
12/07/21,380797
13/07/21,407709
14/07/21,443473
15/07/21,480199
16/07/21,504915
17/07/21,527872
18/07/21,542236
19/07/21,542938
20/07/21,550192
21/07/21,549694
22/07/21,561384
23/07/21,569901
24/07/21,574135
25/07/21,573908
26/07/21,560275
27/07/21,556281
28/07/21,558392
29/07/21,554484
30/07/21,549343
31/07/21,545447
01/08/21,535135
02/08/21,523164
03/08/21,524142
04/08/21,524011
05/08/21,518310
06/08/21,507375
07/08/21,497824
08/08/21,474233
09/08/21,448508
10/08/21,437055
11/08/21,426170
12/08/21,412776
13/08/21,400129
14/08/21,395577
15/08/21,384807
16/08/21,371021
17/08/21,358357
18/08/21,343203
19/08/21,334752
20/08/21,327286
21/08/21,319658
22/08/21,306760
23/08/21,290764
24/08/21,273750
25/08/21,257677
26/08/21,243588
27/08/21,236317
28/08/21,227182
29/08/21,217590
30/08/21,203060
31/08/21,196281
01/09/21,189571
02/09/21,176638
03/09/21,168317
04/09/21,160699
05/09/21,155519
06/09/21,146271
07/09/21,138630
08/09/21,132823
10/09/21,118534
11/09/21,115679
12/09/21,109869
13/09/21,99696
14/09/21,92328
15/09/21,84963
16/09/21,73238
