tanggal, kasus_aktif
14-Feb, 159012
15-Feb, 158498
16-Feb, 160689
17-Feb, 162182
18-Feb, 160494
19-Feb, 160142
20-Feb, 158197
21-Feb, 157088
22-Feb, 157148
23-Feb, 158604
24-Feb, 158162
25-Feb, 157705
26-Feb, 158408
27-Feb, 157039
28-Feb, 155765
01-Mar, 153074
02-Mar, 149645
03-Mar, 147197
04-Mar, 147845
05-Mar, 148356
06-Mar, 147172
07-Mar, 147740
08-Mar, 145628
09-Mar, 144311
10-Mar, 144213
11-Mar, 141070
12-Mar, 140451
13-Mar, 138942
14-Mar, 137912
15-Mar, 136524
16-Mar, 134042
17-Mar, 131695
18-Mar, 131753
19-Mar, 131828
20-Mar, 131616
21-Mar, 129844
22-Mar, 128250
23-Mar, 126439
24-Mar, 123926
25-Mar, 125279
26-Mar, 124497
27-Mar, 124517
28-Mar, 124236
29-Mar, 123694
30-Mar, 122326
31-Mar, 122524
01-Apr, 121222
02-Apr, 121011
03-Apr, 120068
04-Apr, 116709
05-Apr, 114475
06-Apr, 114566
07-Apr, 113570
08-Apr, 111271
09-Apr, 110138
10-Apr, 111137
11-Apr, 109958
12-Apr, 109372
13-Apr, 108599
14-Apr, 108384
15-Apr, 108032
16-Apr, 107297
17-Apr, 106243
18-Apr, 105859
19-Apr, 104319
20-Apr, 102930
21-Apr, 101106
22-Apr, 101191
23-Apr, 100533
24-Apr, 99970
25-Apr, 100474
26-Apr, 100652
27-Apr, 100256
28-Apr, 100502
29-Apr, 100102
30-Apr, 100213
01-Mei, 100250
02-Mei, 100760
03-Mei, 100564
04-Mei, 99087
05-Mei, 98217
06-Mei, 98277
07-Mei, 98546
08-Mei, 99003
09-Mei, 98395
10-Mei, 96742
11-Mei, 95924
12-Mei, 95709
13-Mei, 94857
14-Mei, 93576
15-Mei, 91636
16-Mei, 90800
17-Mei, 89129
18-Mei, 87514
19-Mei, 87829
20-Mei, 88439
21-Mei, 89429
22-Mei, 91240
23-Mei, 92847
24-Mei, 93393
25-Mei, 94486
26-Mei, 96187
27-Mei, 98405
28-Mei, 98704
29-Mei, 99690
30-Mei, 101639
31-Mei, 102006
01-Jun, 101325
02-Jun, 100364
03-Jun, 94438
04-Jun, 94773
05-Jun, 96973
06-Jun, 98455
07-Jun, 99663
08-Jun, 99963
09-Jun, 101635
10-Jun, 104655
11-Jun, 106315
12-Jun, 108324
13-Jun, 113388
14-Jun, 115197
15-Jun, 116787
16-Jun, 120306
17-Jun, 125303
18-Jun, 130096
19-Jun, 135738
20-Jun, 142719
21-Jun, 147728
22-Jun, 152686
23-Jun, 160524
24-Jun, 171542
25-Jun, 181435
26-Jun, 194776
27-Jun, 207685
28-Jun, 218476
29-Jun, 228835
30-Jun, 239368
01-Jul, 253826
02-Jul, 267539
03-Jul, 281677
04-Jul, 295228
05-Jul, 309999
06-Jul, 324597
07-Jul, 343101
08-Jul, 359455
09-Jul, 367733
10-Jul, 373440
11-Jul, 376015
12-Jul, 380797
13-Jul, 407709
14-Jul, 443473
15-Jul, 480199
16-Jul, 504915
17-Jul, 527872
18-Jul, 542236
19-Jul, 542938
20-Jul, 550192
21-Jul, 549694
22-Jul, 561384
23-Jul, 569901
24-Jul, 574135
25-Jul, 573908
26-Jul, 560275
27-Jul, 556281
28-Jul, 558392
29-Jul, 554484
30-Jul, 549343
31-Jul, 545447
01-Agu, 535135
02-Agu, 523164
03-Agu, 524142
04-Agu, 524011
05-Agu, 518310
06-Agu, 507375
07-Agu, 497824
08-Agu, 474233
09-Agu, 448508
10-Agu, 437055
11-Agu, 426170
12-Agu, 412776
13-Agu, 400129
14-Agu, 395577
15-Agu, 384807
16-Agu, 371021
17-Agu, 358357
18-Agu, 343203
19-Agu, 334752
20-Agu, 327286
21-Agu, 319658
22-Agu, 306760
23-Agu, 290764
24-Agu, 273750
25-Agu, 257677
26-Agu, 243588
27-Agu, 236317
28-Agu, 227182
29-Agu, 217590
30-Agu, 203060
31-Agu, 196281
01-Sep, 189571
02-Sep, 176638
03-Sep, 168317
04-Sep, 160699
05-Sep, 155519
06-Sep, 146271
07-Sep, 138630
08-Sep, 132823
10-Sep, 118534
11-Sep, 115679
12-Sep, 109869
13-Sep, 99696
14-Sep, 92328
15-Sep, 84963
16-Sep, 73238
